"AddressID";"AddressLine1";"AddressLine2";"City";"StateProvinceID";"PostalCode";"rowguid";"ModifiedDate"
1;"1970 Napa Ct.";null;"Bothell";79;"98011";0x0DCBAD9ACF363F4884D8585C2D4EC6E9;04/01/1998 00:00:00
2;"9833 Mt. Dias Blv.";null;"Bothell";79;"98011";0x9E4BA53234E0FB4BB573A71CDE60D8C0;01/01/1999 00:00:00
3;"7484 Roundtree Drive";null;"Bothell";79;"98011";0x2369504C1B6D2C45A07CBAA6F5B142A4;08/04/2003 00:00:00
4;"9539 Glenside Dr";null;"Bothell";79;"98011";0x786C94E5CC4B7F479FA1CC09DE16A880;07/03/1999 00:00:00
5;"1226 Shoe St.";null;"Bothell";79;"98011";0x37F9AFFB974AF04A81FDB849900E9BB0;20/01/1999 00:00:00
6;"1399 Firestone Drive";null;"Bothell";79;"98011";0x9181BFFE0498C844877A33FDE94F0075;17/03/1999 00:00:00
7;"5672 Hale Dr.";null;"Bothell";79;"98011";0x74A17501346C414DB3C14419CD6A0446;12/01/2000 00:00:00
8;"6387 Scenic Avenue";null;"Bothell";79;"98011";0x13E81537CA4DE0498F1C31857D21F269;18/01/1999 00:00:00
9;"8713 Yosemite Ct.";null;"Bothell";79;"98011";0x21F68A26D776784C9441144FD139821A;01/07/2002 00:00:00
10;"250 Race Court";null;"Bothell";79;"98011";0x9D736B0BB68E78438D55FE196AF34C04;03/01/1999 00:00:00
11;"1318 Lasalle Street";null;"Bothell";79;"98011";0x03331B98A2ACC7499A96FB670785B269;01/04/2003 00:00:00
12;"5415 San Gabriel Dr.";null;"Bothell";79;"98011";0xFE9C2C1C9FAB964F8E1FD9666B6F7F22;06/02/2003 00:00:00
13;"9265 La Paz";null;"Bothell";79;"98011";0x522FBAE007C95345A0DB67FC67D28AE4;15/01/2004 00:00:00
14;"8157 W. Book";null;"Bothell";79;"98011";0xAE58C6A153C59D4AA081A550D39B64DF;05/01/2000 00:00:00
15;"4912 La Vuelta";null;"Bothell";79;"98011";0x4AE697F3D8A9574E9E7CB10928ACADD6;20/12/2003 00:00:00
16;"40 Ellis St.";null;"Bothell";79;"98011";0x5FB6120360CB96439EC7A78B2EAC1A1B;11/12/2002 00:00:00
17;"6696 Anchor Drive";null;"Bothell";79;"98011";0x473B9BCE67922747BCD2687C47482C06;10/12/2003 00:00:00
18;"1873 Lion Circle";null;"Bothell";79;"98011";0xF7543896CBE3A146A3DB1B05F71D6473;01/01/2004 00:00:00
19;"3148 Rose Street";null;"Bothell";79;"98011";0x0FCB7A6BBFCDFD44BA14EB08A56C1582;04/05/2004 00:00:00
20;"6872 Thornwood Dr.";null;"Bothell";79;"98011";0xD41E1F4BA497FD43BB1E9E05817718E8;09/03/1999 00:00:00
21;"5747 Shirley Drive";null;"Bothell";79;"98011";0xD79932D8F4A055409BD55908E245D757;15/03/1999 00:00:00
22;"636 Vine Hill Way";null;"Portland";58;"97205";0x2515647F0427734F9D8AEB062CFBFA3C;24/06/2001 00:00:00
23;"6657 Sand Pointe Lane";null;"Seattle";79;"98104";0x8F5691B99650924AB25C1A3E4D2ACC66;16/02/1999 00:00:00
24;"80 Sunview Terrace";null;"Duluth";36;"55802";0xC8D307BE586E70469DA9151AB6D3D620;24/06/2001 00:00:00
25;"9178 Jumping St.";null;"Dallas";73;"75201";0xD93BDFC8F0485446A8DD14A67A84D3C6;01/09/2002 00:00:00
26;"5725 Glaze Drive";null;"San Francisco";9;"94109";0x59594177EEA4A64D86F970C097560005;24/06/2001 00:00:00
27;"2487 Riverside Drive";null;"Nevada";74;"84407";0xB0F3D0C12A6B8843886148F44D8270A1;24/06/2001 00:00:00
28;"9228 Via Del Sol";null;"Phoenix";6;"85004";0xE15EAE123EFC8B469B923B970B169774;01/09/2001 00:00:00
29;"8291 Crossbow Way";null;"Memphis";72;"38103";0xAD94C77C22182B41AB94337A89A1D0C9;24/06/2001 00:00:00
30;"9707 Coldwater Drive";null;"Orlando";15;"32804";0x1F593174C136654AB7220E006DB73557;01/08/2001 00:00:00
31;"9100 Sheppard Avenue North";null;"Ottawa";57;"K4B 1T7";0x26EA4D64FDE6194085E635364DDAB0CC;24/06/2001 00:00:00
32;"26910 Indela Road";null;"Montreal";63;"H1Y 2H5";0x625FA984E83A7E4EBBD55A6F00CD982D;01/08/2002 00:00:00
33;"10203 Acorn Avenue";null;"Calgary";1;"T2P 2G8";0xD3867923020F594D9B2E6B1A6B5A6185;24/06/2001 00:00:00
34;"94, rue Descartes";null;"Bordeaux";119;"33000";0xED5EF257070FBA4383B45A4B398F4BF2;22/01/2004 10:09:29
35;"Pascalstr 951";null;"Berlin";20;"14111";0x68CF85295581A345B0867B08BD4D46EF;24/06/2003 00:00:00
36;"34 Waterloo Road";null;"Melbourne";77;"3000";0xA690E51800A5B548B0929E0B59816436;24/06/2003 00:00:00
37;"Downshire Way";null;"Cambridge";14;"BA5 3HX";0xCEF9807FF1504B408C187C95EE35A6EE;24/06/2002 00:00:00
38;"8154 Via Mexico";null;"Detroit";35;"48226";0xADF254BD7A1591449F05CC1D5A492CF1;24/06/2001 00:00:00
39;"3997 Via De Luna";null;"Cambridge";30;"02139";0x6DACA9A58854154AA932F6FA651093F7;25/10/2002 00:00:00
40;"1902 Santa Cruz";null;"Bothell";79;"98011";0x475C0C5ABE180B4289BAD39878160D80;04/03/2000 00:00:00
41;"793 Crawford Street";null;"Kenmore";79;"98028";0xFB8FF25874BEF947AEC0D5771026ED8F;25/04/2004 00:00:00
42;"463 H Stagecoach Rd.";null;"Kenmore";79;"98028";0x0D542C78AD3E154DB170E60616CF125B;21/02/1999 00:00:00
43;"5203 Virginia Lane";null;"Kenmore";79;"98028";0x01A610E2B9421343979D4BCCA6144343;16/03/2000 00:00:00
44;"4095 Cooper Dr.";null;"Kenmore";79;"98028";0xAE18A2E66C51D64CA0A9105FCD46994B;28/01/1999 00:00:00
45;"6697 Ridge Park Drive";null;"Kenmore";79;"98028";0x3430A79561BD4943B33702D647C88CDD;27/12/1998 00:00:00
46;"5669 Ironwood Way";null;"Kenmore";79;"98028";0x319FD28F25EBC74E9258FEF7160119C0;02/03/1999 00:00:00
47;"8192 Seagull Court";null;"Kenmore";79;"98028";0xE3BDE13D37FF9249B50EE12D5E247132;12/02/1999 00:00:00
48;"5553 Cash Avenue";null;"Kenmore";79;"98028";0x5E167518E4D94F418FCB6A8720625443;04/04/1998 00:00:00
49;"7048 Laurel";null;"Kenmore";79;"98028";0x67E372C1E6E60042886512902022B891;05/03/1999 00:00:00
50;"25 95th Ave NE";null;"Kenmore";79;"98028";0x8128D48A1BA84D4A95C26D34A55F3BC9;10/03/1999 00:00:00
51;"3280 Pheasant Circle";null;"Snohomish";79;"98296";0xFFA50AD42B4622439C67C7B5F468E6E3;01/01/1999 00:00:00
