"ContactID";"NameStyle";"Title";"FirstName";"MiddleName";"LastName";"Suffix";"EmailAddress";"EmailPromotion";"Phone";"PasswordHash";"PasswordSalt";"AdditionalContactInfo";"rowguid";"ModifiedDate"
1;false;"Mr.";"Gustavo";null;"Achong";null;"gustavo0@adventure-works.com";2;"398-555-0132";"F295DC2A87C7FD93151A2BC232BEAFF1133F95A2";"TVGHbhY=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes""><act:telephoneNumber><act:number>425-555-1112</act:number><act:SpecialInstructions>Call only after 5:00 p.m.</act:SpecialInstructions></act:telephoneNumber>Note that the customer has a secondary home address.<act:homePostalAddress><act:Street>123 Oak</act:Street><act:City>Seattle</act:City><act:StateProvince>WA</act:StateProvince><act:PostalCode>98001</act:PostalCode><act:CountryRegion>USA</act:CountryRegion><act:SpecialInstructions>If correspondence to the primary address fails, try this one.</act:SpecialInstructions></act:homePostalAddress>Customer provided additional email address.<act:eMail><act:eMailAddress>customer1@sample.com</act:eMailAddress><act:SpecialInstructions>For urgent issues, do not send e-mail. Instead use this emergency contact phone<act:telephoneNumber><act:number>425-555-1111</act:number></act:telephoneNumber>.</act:SpecialInstructions></act:eMail><crm:ContactRecord date=""2001-06-02Z"">This customer is interested in purchasing high-end bicycles for his family. The customer contacted Michael in sales.</crm:ContactRecord></AdditionalContactInfo>";0xD332C1D4B5FC31429DD5888A54BEC693;16/05/2005 16:33:33
2;false;"Ms.";"Catherine";"R.";"Abel";null;"catherine0@adventure-works.com";1;"747-555-0171";"19712A42FC40F14655499D5058E6A877FE9C367B";"rpyd5Tw=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">These are additional phone and pager numbers for the customer.<act:telephoneNumber><act:number>206-555-2222</act:number><act:SpecialInstructions>On weekends, contact the manager at this number.</act:SpecialInstructions></act:telephoneNumber><act:telephoneNumber><act:number>206-555-1234</act:number></act:telephoneNumber><act:pager><act:number>206-555-1244</act:number><act:SpecialInstructions>Do not page between 9:00 a.m. and 5:00 p.m.</act:SpecialInstructions></act:pager>Customer provided this additional home address.<act:homePostalAddress><act:Street>P.O Box 5</act:Street><act:City>Edmonds</act:City><act:StateProvince>WA</act:StateProvince><act:PostalCode>98431</act:PostalCode><act:CountryRegion>USA</act:CountryRegion><act:SpecialInstructions>This is an alternative address for billing only.</act:SpecialInstructions></act:homePostalAddress><act:eMail><act:eMailAddress>Joe@sample.com</act:eMailAddress><act:SpecialInstructions>Do not send e-mail for urgent issues. Use telephone instead.</act:SpecialInstructions></act:eMail><crm:ContactRecord date=""2001-07-02Z"">Sales contacted this customer to explain new pricing.</crm:ContactRecord></AdditionalContactInfo>";0x52054ED526C2224CAF3B762CA854CDD3;16/05/2005 16:33:33
3;false;"Ms.";"Kim";null;"Abercrombie";null;"kim2@adventure-works.com";0;"334-555-0137";"CBCD65769648CCBA7693450991E4388894F13723";"rrgbG/U=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">Customer provided this telephone number for weekend access.<act:telephoneNumber><act:number>605-555-9877</act:number></act:telephoneNumber>secondary phone number.<act:pager><act:number>310-555-5432</act:number><act:SpecialInstructions>Page only if other contact attempts fail.</act:SpecialInstructions></act:pager>Additional home address.<act:homePostalAddress><act:Street>990 5th Avenue</act:Street><act:City>Redmond</act:City><act:StateProvince>WA</act:StateProvince><act:PostalCode>98052</act:PostalCode><act:CountryRegion>USA</act:CountryRegion><act:SpecialInstructions>Use this address for billing only.</act:SpecialInstructions></act:homePostalAddress><act:eMail><act:eMailAddress>Customer3@sample.com</act:eMailAddress><act:SpecialInstructions>Do not send e-mails for urgent issues. Use telephone instead.</act:SpecialInstructions></act:eMail><crm:ContactRecord date=""2002-01-01Z"">Customer first contacted the sales department. This customer is interested in opening a new bicycle store.</crm:ContactRecord><crm:ContactRecord date=""2002-01-05Z"">Linda in sales returned the call. Customer provided another telephone number for off-hour coverage.<act:telephoneNumber><act:number>302-555-7733</act:number></act:telephoneNumber>We are still negotiating possible long-term contract.</crm:ContactRecord></AdditionalContactInfo>";0x48DBCBF7440B0E479F377060446FBFB9;16/05/2005 16:33:33
4;false;"Sr.";"Humberto";null;"Acevedo";null;"humberto0@adventure-works.com";2;"599-555-0127";"69CF91B5628FA4217743B30C5FE14B5B80A03DB2";"F5qyyxs=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">Additional phone numbers.<act:mobile><act:number>750-555-8888</act:number><act:SpecialInstructions>If customer is not at work, call<act:telephoneNumber><act:number>222-555-4444</act:number></act:telephoneNumber></act:SpecialInstructions></act:mobile>Customer uses these two additional email addresses.<act:eMail><act:eMailAddress>Customer4@sample.com</act:eMailAddress></act:eMail><act:eMail><act:eMailAddress>Customer4@contoso.com</act:eMailAddress><act:SpecialInstructions>This is secondary email address.</act:SpecialInstructions></act:eMail><crm:ContactRecord date=""2002-01-01Z"">Customer is expanding his sports and recreation business. Sales is negotiating large sales order with this customer. We called Joe at<act:mobile><act:number>750-555-8888</act:number></act:mobile>We are still working on competitive pricing. Looks promising, but we need additional marketing support to wrap this up.</crm:ContactRecord></AdditionalContactInfo>";0x36D3415ACF84D744B12B83B64B511F7E;16/05/2005 16:33:33
5;false;"Sra.";"Pilar";null;"Ackerman";null;"pilar1@adventure-works.com";0;"1 (11) 500 555-0132";"F57E03FEA2FD0F74684C20758110CC7860F67523";"/RPjvXw=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes""><crm:ContactRecord date=""2002-01-01Z"">Sales contacted this customer for the first time at<act:telephoneNumber><act:number>432-4444</act:number></act:telephoneNumber>We talked about the Road bike price drop and the new spring models. Customer provided us new mobile number<act:mobile><act:number>432-555-7809</act:number></act:mobile></crm:ContactRecord></AdditionalContactInfo>";0xABB81FDF232330439AB854E13CE6D8F9;16/05/2005 16:33:33
6;false;"Ms.";"Frances";"B.";"Adams";null;"frances0@adventure-works.com";1;"991-555-0183";"CB11BA26C9197DA22F8FEB2BC7FEBACAB68177A3";"jA7oD80=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">Additional email address.<act:eMail><act:eMailAddress>Customer6@sample.com</act:eMailAddress></act:eMail><crm:ContactRecord date=""2002-07-01Z"">Customer called us. Interested in the new Touring models.</crm:ContactRecord></AdditionalContactInfo>";0x8200986686C1AE40972A74560E78C1AF;16/05/2005 16:33:33
7;false;"Ms.";"Margaret";"J.";"Smith";null;"margaret0@adventure-works.com";0;"959-555-0151";"628463129E60914625467C5A70C2B493D446EF8E";"i2U3DxA=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">These are additional phone numbers the customer provided.<act:telephoneNumber><act:number>206-555-2222</act:number><act:SpecialInstructions>Best time to call is Monday-Wednesday mornings.</act:SpecialInstructions></act:telephoneNumber><act:mobile><act:number>209-555-2122</act:number></act:mobile></AdditionalContactInfo>";0xE118186919FC5F44B161E401867368E3;16/05/2005 16:33:33
8;false;"Ms.";"Carla";"J.";"Adams";null;"carla0@adventure-works.com";0;"107-555-0138";"E1F4078A186BCADE1F9AE694A1F1C384F09B875E";"Qck1Nwg=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes""><crm:ContactRecord date=""2002-09-02Z"">The customer is interested in the Road-450 and Mountain-500 series bicycles. Customer called us. We need to follow up. Pager <act:pager><act:number>206-555-1234</act:number></act:pager> is the best way to reach.</crm:ContactRecord></AdditionalContactInfo>";0x923B185F48164849893747C9C10F0583;16/05/2005 16:33:33
9;false;"Mr.";"Jay";null;"Adams";null;"jay1@adventure-works.com";1;"158-555-0142";"65CE3AA9243F5C6D8CAAB2EAE6D9DA0660086220";"117fxZM=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes"">Additional home and mobile phone numbers:<act:telephoneNumber><act:number>253-555-4689</act:number></act:telephoneNumber><act:mobile><act:number>253-555-4878</act:number></act:mobile></AdditionalContactInfo>";0x45662538884B6941B68A5B0118F18445;16/05/2005 16:33:33
10;false;"Mr.";"Ronald";"L.";"Adina";null;"ronald0@adventure-works.com";0;"453-555-0165";"EA3A611A35AB7A0EEE8E873C507ADC7C4C3D6D72";"AFWNDMw=";"<AdditionalContactInfo xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactInfo"" xmlns:crm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactRecord"" xmlns:act=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ContactTypes""><crm:ContactRecord date=""2002-09-02Z"">Marketing called this customer. Customer provided this phone number for follow-up questions.<act:telephoneNumber><act:number>305-555-8888</act:number><act:SpecialInstructions>If no answer, try this pager number.<act:pager><act:number>308-555-3678</act:number></act:pager></act:SpecialInstructions></act:telephoneNumber> and this mobile number<act:mobile><act:number>308-555-4888</act:number></act:mobile></crm:ContactRecord></AdditionalContactInfo>";0x555AB0DB5622B142901E824D28158911;16/05/2005 16:33:33
