"EmployeeID";"NationalIDNumber";"ContactID";"LoginID";"ManagerID";"Title";"BirthDate";"MaritalStatus";"Gender";"HireDate";"SalariedFlag";"VacationHours";"SickLeaveHours";"CurrentFlag";"rowguid";"ModifiedDate"
1;"14417807";1209;"adventure-works\guy1";16;"Production Technician - WC60";15/05/1972 00:00:00;"M";"M";31/07/1996 00:00:00;false;21;30;true;0x4AD0E1AA37C27449B4D5935247737718;31/07/2004 00:00:00
2;"253022876";1030;"adventure-works\kevin0";6;"Marketing Assistant";03/06/1977 00:00:00;"S";"M";26/02/1997 00:00:00;false;42;41;true;0x4002481BC0950F41A717EB29943C8886;31/07/2004 00:00:00
3;"509647174";1002;"adventure-works\roberto0";12;"Engineering Manager";13/12/1964 00:00:00;"M";"M";12/12/1997 00:00:00;true;2;21;true;0x2CFBBB9BBBEF17429AB7F97689328841;31/07/2004 00:00:00
4;"112457891";1290;"adventure-works\rob0";3;"Senior Tool Designer";23/01/1965 00:00:00;"S";"M";05/01/1998 00:00:00;false;48;80;true;0x55797459B8873F448ED4F8AD3AFDF3A9;31/07/2004 00:00:00
5;"480168528";1009;"adventure-works\thierry0";263;"Tool Designer";29/08/1949 00:00:00;"M";"M";11/01/1998 00:00:00;false;9;24;true;0x7151951D73E7AD4F838240FD898D5D4D;31/07/2004 00:00:00
6;"24756624";1028;"adventure-works\david0";109;"Marketing Manager";19/04/1965 00:00:00;"S";"M";20/01/1998 00:00:00;true;40;40;true;0xAA2970E8BA2C034CB948D83AF0313E28;31/07/2004 00:00:00
7;"309738752";1070;"adventure-works\jolynn0";21;"Production Supervisor - WC60";16/02/1946 00:00:00;"S";"F";26/01/1998 00:00:00;false;82;61;true;0x961BC72C21F45E4898328723337749BB;31/07/2004 00:00:00
8;"690627818";1071;"adventure-works\ruth0";185;"Production Technician - WC10";06/07/1946 00:00:00;"M";"F";06/02/1998 00:00:00;false;83;61;true;0x05693B3E9E202E44B8A89A0980241C6A;31/07/2004 00:00:00
9;"695256908";1005;"adventure-works\gail0";3;"Design Engineer";29/10/1942 00:00:00;"M";"F";06/02/1998 00:00:00;true;5;22;true;0x09AE84ECB8F9154AB4A96CCBAB919B08;31/07/2004 00:00:00
10;"912265825";1076;"adventure-works\barry0";185;"Production Technician - WC10";27/04/1946 00:00:00;"S";"M";07/02/1998 00:00:00;false;88;64;true;0xAE606A758F37D8439F931E821D1EAF52;31/07/2004 00:00:00
11;"998320692";1006;"adventure-works\jossef0";3;"Design Engineer";11/04/1949 00:00:00;"M";"M";24/02/1998 00:00:00;true;6;23;true;0xF15690E3D59C8D47894514ACA7FBDCDD;31/07/2004 00:00:00
12;"245797967";1001;"adventure-works\terri0";109;"Vice President of Engineering";01/09/1961 00:00:00;"S";"F";03/03/1998 00:00:00;true;1;20;true;0x37F4E8450D67094493CBF9424A40D6EE;31/07/2004 00:00:00
13;"844973625";1072;"adventure-works\sidney0";185;"Production Technician - WC10";01/10/1946 00:00:00;"M";"M";05/03/1998 00:00:00;false;84;62;true;0xD903D640997FB748A580B17CF429BED2;31/07/2004 00:00:00
14;"233069302";1067;"adventure-works\taylor0";21;"Production Supervisor - WC50";03/05/1946 00:00:00;"M";"M";11/03/1998 00:00:00;false;79;59;true;0x89EFF72893278949B67D25046543C1E3;31/07/2004 00:00:00
15;"132674823";1073;"adventure-works\jeffrey0";185;"Production Technician - WC10";12/08/1946 00:00:00;"S";"M";23/03/1998 00:00:00;false;85;62;true;0x416F086E1DB8DC4B9F130EEC488DC43E;31/07/2004 00:00:00
16;"446466105";1068;"adventure-works\jo0";21;"Production Supervisor - WC60";09/11/1946 00:00:00;"S";"F";30/03/1998 00:00:00;false;80;60;true;0xC6AAFF8395B81F48B89714F965D4DA47;31/07/2004 00:00:00
