"EmployeeID";"RateChangeDate";"Rate";"PayFrequency";"ModifiedDate"
1;31/07/1996 00:00:00;12,45;1;31/07/2004 00:00:00
2;26/02/1997 00:00:00;13,462;2;31/07/2004 00:00:00
3;12/12/1997 00:00:00;43,269;2;31/07/2004 00:00:00
4;05/01/1998 00:00:00;8,62;2;22/12/1997 00:00:00
4;01/07/2000 00:00:00;23,72;2;16/06/2000 00:00:00
4;15/01/2002 00:00:00;29,846;2;01/01/2002 00:00:00
5;11/01/1998 00:00:00;25,0;2;31/07/2004 00:00:00
6;20/01/1998 00:00:00;24,0;2;06/01/1998 00:00:00
6;16/08/1999 00:00:00;28,75;2;02/08/1999 00:00:00
6;01/06/2002 00:00:00;37,5;2;18/05/2002 00:00:00
7;26/01/1998 00:00:00;25,0;2;31/07/2004 00:00:00
8;06/02/1998 00:00:00;13,45;1;31/07/2004 00:00:00
9;06/02/1998 00:00:00;32,692;2;31/07/2004 00:00:00
10;07/02/1998 00:00:00;13,45;1;31/07/2004 00:00:00
11;24/02/1998 00:00:00;32,692;2;31/07/2004 00:00:00
12;03/03/1998 00:00:00;63,462;2;31/07/2004 00:00:00
13;05/03/1998 00:00:00;13,45;1;31/07/2004 00:00:00
14;11/03/1998 00:00:00;25,0;2;31/07/2004 00:00:00
15;23/03/1998 00:00:00;13,45;1;31/07/2004 00:00:00
16;30/03/1998 00:00:00;25,0;2;31/07/2004 00:00:00
17;11/04/1998 00:00:00;13,45;1;31/07/2004 00:00:00
18;18/04/1998 00:00:00;25,0;2;31/07/2004 00:00:00
19;29/04/1998 00:00:00;13,45;1;31/07/2004 00:00:00
20;02/01/1999 00:00:00;9,5;1;31/07/2004 00:00:00
21;02/01/1999 00:00:00;24,519;2;31/07/2004 00:00:00
22;03/01/1999 00:00:00;10,0;1;31/07/2004 00:00:00
23;03/01/1999 00:00:00;10,0;1;31/07/2004 00:00:00
24;03/01/1999 00:00:00;6,5;1;20/12/1998 00:00:00
24;01/01/2002 00:00:00;7,25;1;18/12/2001 00:00:00
24;15/08/2003 00:00:00;9,5;1;01/08/2003 00:00:00
25;04/01/1999 00:00:00;25,0;2;31/07/2004 00:00:00
26;05/01/1999 00:00:00;14,0;1;31/07/2004 00:00:00
27;05/01/1999 00:00:00;15,0;1;31/07/2004 00:00:00
28;05/01/1999 00:00:00;32,452;2;31/07/2004 00:00:00
29;06/01/1999 00:00:00;11,0;1;31/07/2004 00:00:00
30;07/01/1999 00:00:00;27,139;2;31/07/2004 00:00:00
31;07/01/1999 00:00:00;15,0;1;31/07/2004 00:00:00
32;08/01/1999 00:00:00;9,5;1;31/07/2004 00:00:00
33;08/01/1999 00:00:00;9,5;1;31/07/2004 00:00:00
34;08/01/1999 00:00:00;9,0;1;31/07/2004 00:00:00
35;08/01/1999 00:00:00;9,5;2;31/07/2004 00:00:00
36;08/01/1999 00:00:00;11,0;1;31/07/2004 00:00:00
37;09/01/1999 00:00:00;12,45;1;31/07/2004 00:00:00
38;09/01/1999 00:00:00;25,0;2;31/07/2004 00:00:00
39;10/01/1999 00:00:00;14,0;1;31/07/2004 00:00:00
40;10/01/1999 00:00:00;10,0;1;31/07/2004 00:00:00
41;10/01/1999 00:00:00;21,635;2;31/07/2004 00:00:00
42;12/01/1999 00:00:00;50,481;2;31/07/2004 00:00:00
43;13/01/1999 00:00:00;11,0;1;31/07/2004 00:00:00
44;13/01/1999 00:00:00;23,558;2;31/07/2004 00:00:00
45;13/01/1999 00:00:00;15,0;1;31/07/2004 00:00:00
46;13/01/1999 00:00:00;14,423;2;31/07/2004 00:00:00
47;14/01/1999 00:00:00;18,269;2;31/07/2004 00:00:00
48;15/01/1999 00:00:00;11,0;1;31/07/2004 00:00:00
49;15/01/1999 00:00:00;20,433;2;31/07/2004 00:00:00
50;15/01/1999 00:00:00;9,5;1;31/07/2004 00:00:00
51;16/01/1999 00:00:00;25,0;2;31/07/2004 00:00:00
52;16/01/1999 00:00:00;10,0;1;31/07/2004 00:00:00
53;16/01/1999 00:00:00;12,45;1;31/07/2004 00:00:00
